Date,Open,High,Low,Close,Adj Close,Volume,Price Movement
5/6/2021,1788.900024,1815.5,1787.599976,1815.5,1815.5,13,Up
5/7/2021,1842.900024,1842.900024,1831.099976,1831.099976,1831.099976,2,Up
5/10/2021,1835.599976,1845.599976,1835.400024,1837.5,1837.5,13,Up
5/11/2021,1837.199951,1838.099976,1831.599976,1835.900024,1835.900024,420,Down
5/12/2021,1825.199951,1825.199951,1821.699951,1822.599976,1822.599976,3,Down
5/13/2021,1814.699951,1826.800049,1814.099976,1823.800049,1823.800049,100,Up
5/14/2021,1824.5,1842.900024,1824.5,1837.900024,1837.900024,41,Up
5/17/2021,1849.900024,1867.5,1847.199951,1867.5,1867.5,13,Up
5/18/2021,1870.5,1870.5,1867.800049,1867.800049,1867.800049,3,Up
5/19/2021,1866.400024,1884.900024,1863.599976,1881.300049,1881.300049,348,Up
5/20/2021,1865.5,1885,1864.800049,1881.800049,1881.800049,85,Up
